;zip_code;no2;date;date_str;year;month;day;weekday
176151;75006;31;2019-01-10;2019-01-10 00:00:00;2019;01;3;Thursday
176152;75006;28;2019-01-10;2019-01-10 00:00:00;2019;01;3;Thursday
176153;75006;27;2019-01-10;2019-01-10 00:00:00;2019;01;3;Thursday
176154;75006;27;2019-01-10;2019-01-10 00:00:00;2019;01;3;Thursday
176155;75006;36;2019-01-10;2019-01-10 00:00:00;2019;01;3;Thursday
176156;75006;52;2019-01-10;2019-01-10 00:00:00;2019;01;3;Thursday
176157;75006;69;2019-01-10;2019-01-10 00:00:00;2019;01;3;Thursday
176158;75006;76;2019-01-10;2019-01-10 00:00:00;2019;01;3;Thursday
176159;75006;78;2019-01-10;2019-01-10 00:00:00;2019;01;3;Thursday
176160;75006;73;2019-01-10;2019-01-10 00:00:00;2019;01;3;Thursday
176161;75006;72;2019-01-10;2019-01-10 00:00:00;2019;01;3;Thursday
176201;75002;38;2019-01-10;2019-01-10 00:00:00;2019;01;3;Thursday
176202;75002;31;2019-01-10;2019-01-10 00:00:00;2019;01;3;Thursday
176203;75002;30;2019-01-10;2019-01-10 00:00:00;2019;01;3;Thursday
176204;75002;30;2019-01-10;2019-01-10 00:00:00;2019;01;3;Thursday
176205;75002;45;2019-01-10;2019-01-10 00:00:00;2019;01;3;Thursday
176206;75002;69;2019-01-10;2019-01-10 00:00:00;2019;01;3;Thursday
176207;75002;85;2019-01-10;2019-01-10 00:00:00;2019;01;3;Thursday
176208;75002;92;2019-01-10;2019-01-10 00:00:00;2019;01;3;Thursday
176209;75002;92;2019-01-10;2019-01-10 00:00:00;2019;01;3;Thursday
176298;75004;32;2019-01-10;2019-01-10 00:00:00;2019;01;3;Thursday
176299;75004;32;2019-01-10;2019-01-10 00:00:00;2019;01;3;Thursday
176300;75004;31;2019-01-10;2019-01-10 00:00:00;2019;01;3;Thursday
176301;75004;32;2019-01-10;2019-01-10 00:00:00;2019;01;3;Thursday
176302;75004;34;2019-01-10;2019-01-10 00:00:00;2019;01;3;Thursday
176303;75004;47;2019-01-10;2019-01-10 00:00:00;2019;01;3;Thursday
176304;75004;60;2019-01-10;2019-01-10 00:00:00;2019;01;3;Thursday
176305;75004;65;2019-01-10;2019-01-10 00:00:00;2019;01;3;Thursday
176306;75004;72;2019-01-10;2019-01-10 00:00:00;2019;01;3;Thursday
176307;75004;66;2019-01-10;2019-01-10 00:00:00;2019;01;3;Thursday
176308;75004;54;2019-01-10;2019-01-10 00:00:00;2019;01;3;Thursday
176348;75012;37;2019-01-10;2019-01-10 00:00:00;2019;01;3;Thursday
176349;75012;35;2019-01-10;2019-01-10 00:00:00;2019;01;3;Thursday
176350;75012;38;2019-01-10;2019-01-10 00:00:00;2019;01;3;Thursday
176351;75012;37;2019-01-10;2019-01-10 00:00:00;2019;01;3;Thursday
176352;75012;47;2019-01-10;2019-01-10 00:00:00;2019;01;3;Thursday
176353;75012;63;2019-01-10;2019-01-10 00:00:00;2019;01;3;Thursday
176354;75012;76;2019-01-10;2019-01-10 00:00:00;2019;01;3;Thursday
176355;75012;70;2019-01-10;2019-01-10 00:00:00;2019;01;3;Thursday
176356;75012;72;2019-01-10;2019-01-10 00:00:00;2019;01;3;Thursday
176357;75012;69;2019-01-10;2019-01-10 00:00:00;2019;01;3;Thursday
176358;75012;60;2019-01-10;2019-01-10 00:00:00;2019;01;3;Thursday
176473;75015;36;2019-01-10;2019-01-10 00:00:00;2019;01;3;Thursday
176474;75015;30;2019-01-10;2019-01-10 00:00:00;2019;01;3;Thursday
176475;75015;28;2019-01-10;2019-01-10 00:00:00;2019;01;3;Thursday
176476;75015;29;2019-01-10;2019-01-10 00:00:00;2019;01;3;Thursday
176477;75015;38;2019-01-10;2019-01-10 00:00:00;2019;01;3;Thursday
176478;75015;56;2019-01-10;2019-01-10 00:00:00;2019;01;3;Thursday
176479;75015;71;2019-01-10;2019-01-10 00:00:00;2019;01;3;Thursday
176480;75015;71;2019-01-10;2019-01-10 00:00:00;2019;01;3;Thursday
176481;75015;68;2019-01-10;2019-01-10 00:00:00;2019;01;3;Thursday
176482;75015;66;2019-01-10;2019-01-10 00:00:00;2019;01;3;Thursday
176483;75015;62;2019-01-10;2019-01-10 00:00:00;2019;01;3;Thursday
176534;75006;73;2019-01-10;2019-01-10 00:00:00;2019;01;3;Thursday
176535;75006;72;2019-01-10;2019-01-10 00:00:00;2019;01;3;Thursday
176536;75006;65;2019-01-10;2019-01-10 00:00:00;2019;01;3;Thursday
176537;75006;57;2019-01-10;2019-01-10 00:00:00;2019;01;3;Thursday
176538;75006;49;2019-01-10;2019-01-10 00:00:00;2019;01;3;Thursday
176539;75006;48;2019-01-10;2019-01-10 00:00:00;2019;01;3;Thursday
176540;75006;46;2019-01-10;2019-01-10 00:00:00;2019;01;3;Thursday
176541;75006;52;2019-01-10;2019-01-10 00:00:00;2019;01;3;Thursday
176542;75006;67;2019-01-10;2019-01-10 00:00:00;2019;01;3;Thursday
176543;75006;74;2019-01-10;2019-01-10 00:00:00;2019;01;3;Thursday
176544;75006;65;2019-01-10;2019-01-10 00:00:00;2019;01;3;Thursday
176545;75006;62;2019-01-10;2019-01-10 00:00:00;2019;01;3;Thursday
176546;75006;54;2019-01-10;2019-01-10 00:00:00;2019;01;3;Thursday
176547;75006;59;2019-01-10;2019-01-10 00:00:00;2019;01;3;Thursday
176548;75006;40;2019-01-11;2019-01-11 00:00:00;2019;01;4;Friday
176549;75006;41;2019-01-11;2019-01-11 00:00:00;2019;01;4;Friday
176550;75006;31;2019-01-11;2019-01-11 00:00:00;2019;01;4;Friday
176551;75006;35;2019-01-11;2019-01-11 00:00:00;2019;01;4;Friday
176552;75006;32;2019-01-11;2019-01-11 00:00:00;2019;01;4;Friday
176553;75006;41;2019-01-11;2019-01-11 00:00:00;2019;01;4;Friday
176554;75006;55;2019-01-11;2019-01-11 00:00:00;2019;01;4;Friday
176555;75006;69;2019-01-11;2019-01-11 00:00:00;2019;01;4;Friday
176556;75006;79;2019-01-11;2019-01-11 00:00:00;2019;01;4;Friday
176557;75006;65;2019-01-11;2019-01-11 00:00:00;2019;01;4;Friday
176558;75006;59;2019-01-11;2019-01-11 00:00:00;2019;01;4;Friday
176584;75002;86;2019-01-10;2019-01-10 00:00:00;2019;01;3;Thursday
176585;75002;81;2019-01-10;2019-01-10 00:00:00;2019;01;3;Thursday
176586;75002;80;2019-01-10;2019-01-10 00:00:00;2019;01;3;Thursday
176587;75002;78;2019-01-10;2019-01-10 00:00:00;2019;01;3;Thursday
176588;75002;73;2019-01-10;2019-01-10 00:00:00;2019;01;3;Thursday
176589;75002;76;2019-01-10;2019-01-10 00:00:00;2019;01;3;Thursday
176590;75002;83;2019-01-10;2019-01-10 00:00:00;2019;01;3;Thursday
176591;75002;85;2019-01-10;2019-01-10 00:00:00;2019;01;3;Thursday
176592;75002;87;2019-01-10;2019-01-10 00:00:00;2019;01;3;Thursday
176593;75002;86;2019-01-10;2019-01-10 00:00:00;2019;01;3;Thursday
176594;75002;80;2019-01-10;2019-01-10 00:00:00;2019;01;3;Thursday
176595;75002;75;2019-01-10;2019-01-10 00:00:00;2019;01;3;Thursday
176596;75002;65;2019-01-10;2019-01-10 00:00:00;2019;01;3;Thursday
176597;75002;68;2019-01-10;2019-01-10 00:00:00;2019;01;3;Thursday
176598;75002;42;2019-01-11;2019-01-11 00:00:00;2019;01;4;Friday
176599;75002;52;2019-01-11;2019-01-11 00:00:00;2019;01;4;Friday
176600;75002;46;2019-01-11;2019-01-11 00:00:00;2019;01;4;Friday
176601;75002;43;2019-01-11;2019-01-11 00:00:00;2019;01;4;Friday
176602;75002;41;2019-01-11;2019-01-11 00:00:00;2019;01;4;Friday
176603;75002;55;2019-01-11;2019-01-11 00:00:00;2019;01;4;Friday
176604;75002;64;2019-01-11;2019-01-11 00:00:00;2019;01;4;Friday
176605;75002;84;2019-01-11;2019-01-11 00:00:00;2019;01;4;Friday
176606;75002;93;2019-01-11;2019-01-11 00:00:00;2019;01;4;Friday
176681;75004;66;2019-01-10;2019-01-10 00:00:00;2019;01;3;Thursday
176682;75004;54;2019-01-10;2019-01-10 00:00:00;2019;01;3;Thursday
176683;75004;52;2019-01-10;2019-01-10 00:00:00;2019;01;3;Thursday
176684;75004;42;2019-01-10;2019-01-10 00:00:00;2019;01;3;Thursday
176685;75004;38;2019-01-10;2019-01-10 00:00:00;2019;01;3;Thursday
176686;75004;37;2019-01-10;2019-01-10 00:00:00;2019;01;3;Thursday
176687;75004;41;2019-01-10;2019-01-10 00:00:00;2019;01;3;Thursday
176688;75004;48;2019-01-10;2019-01-10 00:00:00;2019;01;3;Thursday
176689;75004;63;2019-01-10;2019-01-10 00:00:00;2019;01;3;Thursday
176690;75004;61;2019-01-10;2019-01-10 00:00:00;2019;01;3;Thursday
176691;75004;63;2019-01-10;2019-01-10 00:00:00;2019;01;3;Thursday
176692;75004;47;2019-01-10;2019-01-10 00:00:00;2019;01;3;Thursday
176693;75004;40;2019-01-10;2019-01-10 00:00:00;2019;01;3;Thursday
176694;75004;35;2019-01-10;2019-01-10 00:00:00;2019;01;3;Thursday
176695;75004;35;2019-01-11;2019-01-11 00:00:00;2019;01;4;Friday
176696;75004;39;2019-01-11;2019-01-11 00:00:00;2019;01;4;Friday
176697;75004;35;2019-01-11;2019-01-11 00:00:00;2019;01;4;Friday
176698;75004;36;2019-01-11;2019-01-11 00:00:00;2019;01;4;Friday
176699;75004;34;2019-01-11;2019-01-11 00:00:00;2019;01;4;Friday
176700;75004;37;2019-01-11;2019-01-11 00:00:00;2019;01;4;Friday
176701;75004;40;2019-01-11;2019-01-11 00:00:00;2019;01;4;Friday
176702;75004;59;2019-01-11;2019-01-11 00:00:00;2019;01;4;Friday
176703;75004;64;2019-01-11;2019-01-11 00:00:00;2019;01;4;Friday
176704;75004;59;2019-01-11;2019-01-11 00:00:00;2019;01;4;Friday
176705;75004;53;2019-01-11;2019-01-11 00:00:00;2019;01;4;Friday
176731;75012;69;2019-01-10;2019-01-10 00:00:00;2019;01;3;Thursday
176732;75012;60;2019-01-10;2019-01-10 00:00:00;2019;01;3;Thursday
176733;75012;64;2019-01-10;2019-01-10 00:00:00;2019;01;3;Thursday
176734;75012;60;2019-01-10;2019-01-10 00:00:00;2019;01;3;Thursday
176735;75012;58;2019-01-10;2019-01-10 00:00:00;2019;01;3;Thursday
176736;75012;61;2019-01-10;2019-01-10 00:00:00;2019;01;3;Thursday
176737;75012;57;2019-01-10;2019-01-10 00:00:00;2019;01;3;Thursday
176738;75012;76;2019-01-10;2019-01-10 00:00:00;2019;01;3;Thursday
176739;75012;77;2019-01-10;2019-01-10 00:00:00;2019;01;3;Thursday
176740;75012;89;2019-01-10;2019-01-10 00:00:00;2019;01;3;Thursday
176741;75012;79;2019-01-10;2019-01-10 00:00:00;2019;01;3;Thursday
176742;75012;77;2019-01-10;2019-01-10 00:00:00;2019;01;3;Thursday
176743;75012;80;2019-01-10;2019-01-10 00:00:00;2019;01;3;Thursday
176744;75012;76;2019-01-10;2019-01-10 00:00:00;2019;01;3;Thursday
176745;75012;67;2019-01-11;2019-01-11 00:00:00;2019;01;4;Friday
176746;75012;80;2019-01-11;2019-01-11 00:00:00;2019;01;4;Friday
176747;75012;81;2019-01-11;2019-01-11 00:00:00;2019;01;4;Friday
176748;75012;45;2019-01-11;2019-01-11 00:00:00;2019;01;4;Friday
176749;75012;37;2019-01-11;2019-01-11 00:00:00;2019;01;4;Friday
176750;75012;33;2019-01-11;2019-01-11 00:00:00;2019;01;4;Friday
176751;75012;46;2019-01-11;2019-01-11 00:00:00;2019;01;4;Friday
176752;75012;56;2019-01-11;2019-01-11 00:00:00;2019;01;4;Friday
176753;75012;63;2019-01-11;2019-01-11 00:00:00;2019;01;4;Friday
176754;75012;56;2019-01-11;2019-01-11 00:00:00;2019;01;4;Friday
176755;75012;48;2019-01-11;2019-01-11 00:00:00;2019;01;4;Friday
176856;75015;66;2019-01-10;2019-01-10 00:00:00;2019;01;3;Thursday
176857;75015;62;2019-01-10;2019-01-10 00:00:00;2019;01;3;Thursday
176858;75015;58;2019-01-10;2019-01-10 00:00:00;2019;01;3;Thursday
176859;75015;51;2019-01-10;2019-01-10 00:00:00;2019;01;3;Thursday
176860;75015;43;2019-01-10;2019-01-10 00:00:00;2019;01;3;Thursday
176861;75015;31;2019-01-10;2019-01-10 00:00:00;2019;01;3;Thursday
176862;75015;42;2019-01-10;2019-01-10 00:00:00;2019;01;3;Thursday
176863;75015;61;2019-01-10;2019-01-10 00:00:00;2019;01;3;Thursday
176864;75015;61;2019-01-10;2019-01-10 00:00:00;2019;01;3;Thursday
176865;75015;60;2019-01-10;2019-01-10 00:00:00;2019;01;3;Thursday
176866;75015;60;2019-01-10;2019-01-10 00:00:00;2019;01;3;Thursday
176867;75015;42;2019-01-10;2019-01-10 00:00:00;2019;01;3;Thursday
176868;75015;47;2019-01-10;2019-01-10 00:00:00;2019;01;3;Thursday
176869;75015;36;2019-01-10;2019-01-10 00:00:00;2019;01;3;Thursday
176870;75015;45;2019-01-11;2019-01-11 00:00:00;2019;01;4;Friday
176871;75015;35;2019-01-11;2019-01-11 00:00:00;2019;01;4;Friday
176872;75015;29;2019-01-11;2019-01-11 00:00:00;2019;01;4;Friday
176873;75015;21;2019-01-11;2019-01-11 00:00:00;2019;01;4;Friday
176874;75015;28;2019-01-11;2019-01-11 00:00:00;2019;01;4;Friday
176875;75015;40;2019-01-11;2019-01-11 00:00:00;2019;01;4;Friday
176876;75015;49;2019-01-11;2019-01-11 00:00:00;2019;01;4;Friday
176877;75015;54;2019-01-11;2019-01-11 00:00:00;2019;01;4;Friday
176878;75015;56;2019-01-11;2019-01-11 00:00:00;2019;01;4;Friday
176879;75015;50;2019-01-11;2019-01-11 00:00:00;2019;01;4;Friday
176880;75015;46;2019-01-11;2019-01-11 00:00:00;2019;01;4;Friday
176912;75006;65;2019-01-11;2019-01-11 00:00:00;2019;01;4;Friday
176913;75006;59;2019-01-11;2019-01-11 00:00:00;2019;01;4;Friday
176914;75006;58;2019-01-11;2019-01-11 00:00:00;2019;01;4;Friday
176915;75006;53;2019-01-11;2019-01-11 00:00:00;2019;01;4;Friday
176916;75006;64;2019-01-11;2019-01-11 00:00:00;2019;01;4;Friday
176917;75006;64;2019-01-11;2019-01-11 00:00:00;2019;01;4;Friday
176918;75006;62;2019-01-11;2019-01-11 00:00:00;2019;01;4;Friday
176919;75006;74;2019-01-11;2019-01-11 00:00:00;2019;01;4;Friday
176920;75006;55;2019-01-11;2019-01-11 00:00:00;2019;01;4;Friday
176921;75006;57;2019-01-11;2019-01-11 00:00:00;2019;01;4;Friday
176922;75006;52;2019-01-11;2019-01-11 00:00:00;2019;01;4;Friday
176923;75006;49;2019-01-11;2019-01-11 00:00:00;2019;01;4;Friday
176924;75006;47;2019-01-11;2019-01-11 00:00:00;2019;01;4;Friday
176925;75006;44;2019-01-11;2019-01-11 00:00:00;2019;01;4;Friday
176926;75006;47;2019-01-12;2019-01-12 00:00:00;2019;01;5;Saturday
176927;75006;43;2019-01-12;2019-01-12 00:00:00;2019;01;5;Saturday
176928;75006;38;2019-01-12;2019-01-12 00:00:00;2019;01;5;Saturday
176929;75006;37;2019-01-12;2019-01-12 00:00:00;2019;01;5;Saturday
176930;75006;29;2019-01-12;2019-01-12 00:00:00;2019;01;5;Saturday
176931;75006;27;2019-01-12;2019-01-12 00:00:00;2019;01;5;Saturday
176932;75006;31;2019-01-12;2019-01-12 00:00:00;2019;01;5;Saturday
176933;75006;43;2019-01-12;2019-01-12 00:00:00;2019;01;5;Saturday
176934;75006;55;2019-01-12;2019-01-12 00:00:00;2019;01;5;Saturday
176935;75006;52;2019-01-12;2019-01-12 00:00:00;2019;01;5;Saturday
176936;75006;53;2019-01-12;2019-01-12 00:00:00;2019;01;5;Saturday
176962;75002;84;2019-01-11;2019-01-11 00:00:00;2019;01;4;Friday
176963;75002;80;2019-01-11;2019-01-11 00:00:00;2019;01;4;Friday
176964;75002;69;2019-01-11;2019-01-11 00:00:00;2019;01;4;Friday
176965;75002;71;2019-01-11;2019-01-11 00:00:00;2019;01;4;Friday
176966;75002;78;2019-01-11;2019-01-11 00:00:00;2019;01;4;Friday
176967;75002;82;2019-01-11;2019-01-11 00:00:00;2019;01;4;Friday
176968;75002;84;2019-01-11;2019-01-11 00:00:00;2019;01;4;Friday
176969;75002;84;2019-01-11;2019-01-11 00:00:00;2019;01;4;Friday
176970;75002;69;2019-01-11;2019-01-11 00:00:00;2019;01;4;Friday
176971;75002;78;2019-01-11;2019-01-11 00:00:00;2019;01;4;Friday
176972;75002;68;2019-01-11;2019-01-11 00:00:00;2019;01;4;Friday
176973;75002;72;2019-01-11;2019-01-11 00:00:00;2019;01;4;Friday
176974;75002;60;2019-01-11;2019-01-11 00:00:00;2019;01;4;Friday
176975;75002;61;2019-01-11;2019-01-11 00:00:00;2019;01;4;Friday
176976;75002;48;2019-01-12;2019-01-12 00:00:00;2019;01;5;Saturday
176977;75002;59;2019-01-12;2019-01-12 00:00:00;2019;01;5;Saturday
176978;75002;40;2019-01-12;2019-01-12 00:00:00;2019;01;5;Saturday
176979;75002;37;2019-01-12;2019-01-12 00:00:00;2019;01;5;Saturday
176980;75002;36;2019-01-12;2019-01-12 00:00:00;2019;01;5;Saturday
176981;75002;40;2019-01-12;2019-01-12 00:00:00;2019;01;5;Saturday
176982;75002;48;2019-01-12;2019-01-12 00:00:00;2019;01;5;Saturday
176983;75002;64;2019-01-12;2019-01-12 00:00:00;2019;01;5;Saturday
176984;75002;70;2019-01-12;2019-01-12 00:00:00;2019;01;5;Saturday
176985;75002;70;2019-01-12;2019-01-12 00:00:00;2019;01;5;Saturday
176986;75002;50;2019-01-12;2019-01-12 00:00:00;2019;01;5;Saturday
177062;75004;59;2019-01-11;2019-01-11 00:00:00;2019;01;4;Friday
177063;75004;53;2019-01-11;2019-01-11 00:00:00;2019;01;4;Friday
177064;75004;51;2019-01-11;2019-01-11 00:00:00;2019;01;4;Friday
177065;75004;50;2019-01-11;2019-01-11 00:00:00;2019;01;4;Friday
177066;75004;56;2019-01-11;2019-01-11 00:00:00;2019;01;4;Friday
177067;75004;56;2019-01-11;2019-01-11 00:00:00;2019;01;4;Friday
177068;75004;59;2019-01-11;2019-01-11 00:00:00;2019;01;4;Friday
177069;75004;61;2019-01-11;2019-01-11 00:00:00;2019;01;4;Friday
177070;75004;55;2019-01-11;2019-01-11 00:00:00;2019;01;4;Friday
177071;75004;55;2019-01-11;2019-01-11 00:00:00;2019;01;4;Friday
177072;75004;52;2019-01-11;2019-01-11 00:00:00;2019;01;4;Friday
177073;75004;51;2019-01-11;2019-01-11 00:00:00;2019;01;4;Friday
177074;75004;40;2019-01-11;2019-01-11 00:00:00;2019;01;4;Friday
177075;75004;35;2019-01-11;2019-01-11 00:00:00;2019;01;4;Friday
177076;75004;31;2019-01-12;2019-01-12 00:00:00;2019;01;5;Saturday
177077;75004;43;2019-01-12;2019-01-12 00:00:00;2019;01;5;Saturday
177078;75004;35;2019-01-12;2019-01-12 00:00:00;2019;01;5;Saturday
177079;75004;31;2019-01-12;2019-01-12 00:00:00;2019;01;5;Saturday
177080;75004;32;2019-01-12;2019-01-12 00:00:00;2019;01;5;Saturday
177081;75004;28;2019-01-12;2019-01-12 00:00:00;2019;01;5;Saturday
177082;75004;30;2019-01-12;2019-01-12 00:00:00;2019;01;5;Saturday
177083;75004;34;2019-01-12;2019-01-12 00:00:00;2019;01;5;Saturday
177084;75004;39;2019-01-12;2019-01-12 00:00:00;2019;01;5;Saturday
177085;75004;44;2019-01-12;2019-01-12 00:00:00;2019;01;5;Saturday
177086;75004;39;2019-01-12;2019-01-12 00:00:00;2019;01;5;Saturday
177112;75012;56;2019-01-11;2019-01-11 00:00:00;2019;01;4;Friday
177113;75012;48;2019-01-11;2019-01-11 00:00:00;2019;01;4;Friday
177114;75012;49;2019-01-11;2019-01-11 00:00:00;2019;01;4;Friday
177115;75012;50;2019-01-11;2019-01-11 00:00:00;2019;01;4;Friday
177116;75012;57;2019-01-11;2019-01-11 00:00:00;2019;01;4;Friday
177117;75012;63;2019-01-11;2019-01-11 00:00:00;2019;01;4;Friday
177118;75012;62;2019-01-11;2019-01-11 00:00:00;2019;01;4;Friday
177119;75012;64;2019-01-11;2019-01-11 00:00:00;2019;01;4;Friday
177120;75012;61;2019-01-11;2019-01-11 00:00:00;2019;01;4;Friday
177121;75012;56;2019-01-11;2019-01-11 00:00:00;2019;01;4;Friday
177122;75012;51;2019-01-11;2019-01-11 00:00:00;2019;01;4;Friday
177123;75012;41;2019-01-11;2019-01-11 00:00:00;2019;01;4;Friday
177124;75012;40;2019-01-11;2019-01-11 00:00:00;2019;01;4;Friday
177125;75012;41;2019-01-11;2019-01-11 00:00:00;2019;01;4;Friday
177126;75012;28;2019-01-12;2019-01-12 00:00:00;2019;01;5;Saturday
177127;75012;33;2019-01-12;2019-01-12 00:00:00;2019;01;5;Saturday
177128;75012;25;2019-01-12;2019-01-12 00:00:00;2019;01;5;Saturday
177129;75012;33;2019-01-12;2019-01-12 00:00:00;2019;01;5;Saturday
177130;75012;35;2019-01-12;2019-01-12 00:00:00;2019;01;5;Saturday
177131;75012;25;2019-01-12;2019-01-12 00:00:00;2019;01;5;Saturday
177132;75012;24;2019-01-12;2019-01-12 00:00:00;2019;01;5;Saturday
177133;75012;33;2019-01-12;2019-01-12 00:00:00;2019;01;5;Saturday
177134;75012;48;2019-01-12;2019-01-12 00:00:00;2019;01;5;Saturday
177135;75012;61;2019-01-12;2019-01-12 00:00:00;2019;01;5;Saturday
177136;75012;65;2019-01-12;2019-01-12 00:00:00;2019;01;5;Saturday
177233;75015;50;2019-01-11;2019-01-11 00:00:00;2019;01;4;Friday
177234;75015;46;2019-01-11;2019-01-11 00:00:00;2019;01;4;Friday
177235;75015;47;2019-01-11;2019-01-11 00:00:00;2019;01;4;Friday
177236;75015;45;2019-01-11;2019-01-11 00:00:00;2019;01;4;Friday
177237;75015;50;2019-01-11;2019-01-11 00:00:00;2019;01;4;Friday
177238;75015;52;2019-01-11;2019-01-11 00:00:00;2019;01;4;Friday
177239;75015;57;2019-01-11;2019-01-11 00:00:00;2019;01;4;Friday
177240;75015;60;2019-01-11;2019-01-11 00:00:00;2019;01;4;Friday
177241;75015;59;2019-01-11;2019-01-11 00:00:00;2019;01;4;Friday
177242;75015;58;2019-01-11;2019-01-11 00:00:00;2019;01;4;Friday
177243;75015;49;2019-01-11;2019-01-11 00:00:00;2019;01;4;Friday
177244;75015;49;2019-01-11;2019-01-11 00:00:00;2019;01;4;Friday
177245;75015;42;2019-01-11;2019-01-11 00:00:00;2019;01;4;Friday
177246;75015;36;2019-01-11;2019-01-11 00:00:00;2019;01;4;Friday
177247;75015;27;2019-01-12;2019-01-12 00:00:00;2019;01;5;Saturday
177248;75015;23;2019-01-12;2019-01-12 00:00:00;2019;01;5;Saturday
177249;75015;19;2019-01-12;2019-01-12 00:00:00;2019;01;5;Saturday
177250;75015;18;2019-01-12;2019-01-12 00:00:00;2019;01;5;Saturday
177251;75015;19;2019-01-12;2019-01-12 00:00:00;2019;01;5;Saturday
177252;75015;19;2019-01-12;2019-01-12 00:00:00;2019;01;5;Saturday
177253;75015;25;2019-01-12;2019-01-12 00:00:00;2019;01;5;Saturday
177254;75015;20;2019-01-12;2019-01-12 00:00:00;2019;01;5;Saturday
177255;75015;27;2019-01-12;2019-01-12 00:00:00;2019;01;5;Saturday
177256;75015;27;2019-01-12;2019-01-12 00:00:00;2019;01;5;Saturday
177257;75015;21;2019-01-12;2019-01-12 00:00:00;2019;01;5;Saturday
177308;75006;52;2019-01-12;2019-01-12 00:00:00;2019;01;5;Saturday
177309;75006;53;2019-01-12;2019-01-12 00:00:00;2019;01;5;Saturday
177310;75006;38;2019-01-12;2019-01-12 00:00:00;2019;01;5;Saturday
177311;75006;30;2019-01-12;2019-01-12 00:00:00;2019;01;5;Saturday
177312;75006;31;2019-01-12;2019-01-12 00:00:00;2019;01;5;Saturday
177313;75006;35;2019-01-12;2019-01-12 00:00:00;2019;01;5;Saturday
177314;75006;50;2019-01-12;2019-01-12 00:00:00;2019;01;5;Saturday
177315;75006;47;2019-01-12;2019-01-12 00:00:00;2019;01;5;Saturday
177316;75006;40;2019-01-12;2019-01-12 00:00:00;2019;01;5;Saturday
177317;75006;44;2019-01-12;2019-01-12 00:00:00;2019;01;5;Saturday
177318;75006;34;2019-01-12;2019-01-12 00:00:00;2019;01;5;Saturday
177319;75006;29;2019-01-12;2019-01-12 00:00:00;2019;01;5;Saturday
177320;75006;30;2019-01-12;2019-01-12 00:00:00;2019;01;5;Saturday
177321;75006;27;2019-01-12;2019-01-12 00:00:00;2019;01;5;Saturday
177322;75006;22;2019-01-13;2019-01-13 00:00:00;2019;01;6;Sunday
177323;75006;24;2019-01-13;2019-01-13 00:00:00;2019;01;6;Sunday
177324;75006;16;2019-01-13;2019-01-13 00:00:00;2019;01;6;Sunday
177325;75006;13;2019-01-13;2019-01-13 00:00:00;2019;01;6;Sunday
177326;75006;13;2019-01-13;2019-01-13 00:00:00;2019;01;6;Sunday
177327;75006;14;2019-01-13;2019-01-13 00:00:00;2019;01;6;Sunday
177328;75006;18;2019-01-13;2019-01-13 00:00:00;2019;01;6;Sunday
177329;75006;15;2019-01-13;2019-01-13 00:00:00;2019;01;6;Sunday
177330;75006;16;2019-01-13;2019-01-13 00:00:00;2019;01;6;Sunday
177331;75006;17;2019-01-13;2019-01-13 00:00:00;2019;01;6;Sunday
177332;75006;18;2019-01-13;2019-01-13 00:00:00;2019;01;6;Sunday
177358;75002;70;2019-01-12;2019-01-12 00:00:00;2019;01;5;Saturday
177359;75002;50;2019-01-12;2019-01-12 00:00:00;2019;01;5;Saturday
177360;75002;46;2019-01-12;2019-01-12 00:00:00;2019;01;5;Saturday
177361;75002;46;2019-01-12;2019-01-12 00:00:00;2019;01;5;Saturday
177362;75002;43;2019-01-12;2019-01-12 00:00:00;2019;01;5;Saturday
177363;75002;51;2019-01-12;2019-01-12 00:00:00;2019;01;5;Saturday
177364;75002;58;2019-01-12;2019-01-12 00:00:00;2019;01;5;Saturday
177365;75002;64;2019-01-12;2019-01-12 00:00:00;2019;01;5;Saturday
177366;75002;61;2019-01-12;2019-01-12 00:00:00;2019;01;5;Saturday
177367;75002;59;2019-01-12;2019-01-12 00:00:00;2019;01;5;Saturday
177368;75002;62;2019-01-12;2019-01-12 00:00:00;2019;01;5;Saturday
177369;75002;50;2019-01-12;2019-01-12 00:00:00;2019;01;5;Saturday
177370;75002;47;2019-01-12;2019-01-12 00:00:00;2019;01;5;Saturday
177371;75002;47;2019-01-12;2019-01-12 00:00:00;2019;01;5;Saturday
177372;75002;42;2019-01-13;2019-01-13 00:00:00;2019;01;6;Sunday
177373;75002;45;2019-01-13;2019-01-13 00:00:00;2019;01;6;Sunday
177374;75002;30;2019-01-13;2019-01-13 00:00:00;2019;01;6;Sunday
177375;75002;25;2019-01-13;2019-01-13 00:00:00;2019;01;6;Sunday
177376;75002;20;2019-01-13;2019-01-13 00:00:00;2019;01;6;Sunday
177377;75002;22;2019-01-13;2019-01-13 00:00:00;2019;01;6;Sunday
177378;75002;22;2019-01-13;2019-01-13 00:00:00;2019;01;6;Sunday
177379;75002;24;2019-01-13;2019-01-13 00:00:00;2019;01;6;Sunday
177380;75002;26;2019-01-13;2019-01-13 00:00:00;2019;01;6;Sunday
177381;75002;32;2019-01-13;2019-01-13 00:00:00;2019;01;6;Sunday
177382;75002;28;2019-01-13;2019-01-13 00:00:00;2019;01;6;Sunday
177458;75004;44;2019-01-12;2019-01-12 00:00:00;2019;01;5;Saturday
